Date,Open,High,Low,Close,Volume,sentiment_polarity,sentiment_subjectivity
2023-11-30,189.84,190.32,188.19,189.95,48744366.0,0.17230385201218534,0.564928391053391
2023-12-01,190.33,191.56,189.23,191.24,45676673.0,0.10907888407888408,0.4139931056597723
2023-12-04,189.98,190.05,187.4511,189.43,43389519.0,0.24606582782040756,0.523544070183887
2023-12-05,190.21,194.4,190.18,193.42,66628398.0,0.1895934620934621,0.44792280636030635
2023-12-06,194.45,194.76,192.11,192.32,41055862.0,0.22926253273475494,0.45547578612637085
2023-12-07,193.63,195.0,193.59,194.27,47413955.0,0.15753787878787878,0.36382996632996634
2023-12-08,194.2,195.99,193.67,195.71,53383658.0,0.20066590073008422,0.43672145486855085
2023-12-11,193.11,193.49,191.42,193.18,60943699.0,0.08929413156447151,0.37062189062953005
2023-12-12,193.08,194.72,191.721,194.71,52696900.0,0.23677929360149857,0.39563863008971706
2023-12-13,195.09,198.0,194.85,197.96,70404183.0,0.251032196969697,0.4670988906926407
2023-12-14,198.02,199.62,196.16,198.11,66831572.0,0.20787316441728204,0.4014260249554367
2023-12-15,197.53,198.3999,197.0,197.57,127387901.0,0.2641504351204351,0.43501592074592077
2023-12-18,196.09,196.63,194.39,195.89,55751861.0,0.14451464045214044,0.39532666407666406
2023-12-19,196.16,196.95,195.89,196.94,40714051.0,0.14780802698984516,0.5419008668099576
2023-12-20,196.9,197.68,194.83,194.83,52242815.0,0.13607541581225793,0.39111642743221686
2023-12-21,196.1,197.08,193.5,194.68,46482549.0,0.16278537087118322,0.34183946526395037
2023-12-22,195.18,195.41,192.97,193.6,37149570.0,0.29457292068545265,0.5375310331896009
2023-12-26,193.61,193.89,192.83,193.05,28919310.0,0.2501104797979798,0.5272713744588745
2023-12-27,192.49,193.5,191.09,193.15,48087681.0,0.19768954592484003,0.4599833308397814
2023-12-28,194.14,194.66,193.17,193.58,34049898.0,0.10603675144300144,0.3432814303751804
2023-12-29,193.9,194.4,191.725,192.53,42672148.0,0.11972850603558807,0.3984907553531779
2024-01-02,187.15,188.44,183.885,185.64,81964874.0,0.2587954784600472,0.5098444438780664
2024-01-03,184.22,185.88,183.43,184.25,58414460.0,0.035417134392783746,0.3672273172354341
2024-01-04,182.15,183.0872,180.88,181.91,71878670.0,0.18089449399232008,0.43073674815522645
2024-01-05,181.99,182.76,180.17,181.18,62371161.0,0.08857407407407408,0.4242781479922684
2024-01-08,182.085,185.6,181.5,185.56,59144470.0,0.2019308199516533,0.5038173015256349
2024-01-09,183.92,185.15,182.73,185.14,42841809.0,0.20705174734035028,0.5148374465947996
2024-01-10,184.35,186.4,183.92,186.19,46192908.0,0.08983891241034098,0.2811543800115228
2024-01-11,186.54,187.05,183.62,185.59,49128408.0,0.22912037037037036,0.47056547619047623
2024-01-12,186.06,186.74,185.19,185.92,40477782.0,0.16240259740259738,0.4141991341991342
2024-01-16,182.16,184.26,180.934,183.63,65076641.0,0.15036846948435748,0.4141889345995031
2024-01-17,181.27,182.93,180.3,182.68,47317433.0,0.1778269710087892,0.42800570641479735
2024-01-18,186.09,189.14,185.83,188.63,77722754.0,0.11194973780758094,0.4560250615397674
2024-01-19,189.33,191.95,188.82,191.56,68887985.0,0.07527007031768937,0.41367423383494806
2024-01-22,192.3,195.33,192.26,193.89,60131852.0,0.1413785173160173,0.46835819934034223
2024-01-23,195.02,195.75,193.8299,195.18,42355590.0,0.18538234913234913,0.36656695156695157
2024-01-24,195.42,196.38,194.34,194.5,53631316.0,0.12293480613589311,0.3728650009410879
2024-01-25,195.22,196.2675,193.1125,194.17,54822126.0,0.22106421749395602,0.4975641500988723
2024-01-26,194.27,194.76,191.94,192.42,44587111.0,0.04537978468899522,0.4384790100250626
2024-01-29,192.01,192.2,189.58,191.73,47145622.0,0.16764466495905891,0.5541292170231564
2024-01-30,190.94,191.8,187.47,188.04,55836970.0,0.15526036029942278,0.3939260349025974
2024-01-31,187.04,187.095,184.35,184.4,55467803.0,0.21661935917617736,0.5251685688049325
2024-02-01,183.985,186.95,183.82,186.86,64885408.0,0.14349826279030242,0.4239955740598324
2024-02-02,179.86,187.33,179.25,185.85,102527680.0,0.2174656804516065,0.5182419541692275
2024-02-05,188.15,189.25,185.84,187.68,69654320.0,0.15309691886396432,0.43190668863964315
2024-02-06,186.86,189.31,186.7695,189.3,43490759.0,0.2234903143994053,0.42994807381171013
2024-02-07,190.64,191.05,188.61,189.41,53438955.0,0.23003656854509125,0.504199738077579
2024-02-08,189.385,189.535,187.35,188.32,40962046.0,0.10263257225378439,0.40627228341243493
2024-02-09,188.65,189.99,188.0,188.85,45155216.0,0.1555046460832906,0.5323941968091584
2024-02-12,188.415,188.67,186.79,187.15,41781934.0,0.0959091884091884,0.26328927953927955
2024-02-13,185.77,186.21,183.5128,185.04,56529529.0,0.164624518999519,0.41934169071669075
2024-02-14,185.32,185.53,182.44,184.15,54617917.0,0.16365800865800867,0.34835497835497836
2024-02-15,183.55,184.49,181.35,183.86,65434496.0,0.07838020745488279,0.38572777871479175
2024-02-16,183.42,184.85,181.665,182.31,49752465.0,0.18900241228367776,0.4910872125553903
2024-02-20,181.79,182.43,180.0,181.56,53574453.0,0.09423229291716687,0.40805702280912365
2024-02-21,181.94,182.8888,180.66,182.32,41496371.0,0.192958624527252,0.4040147860490998
2024-02-22,183.48,184.955,182.46,184.37,52284192.0,0.13860384305237247,0.5227269013666073
2024-02-23,185.01,185.04,182.23,182.52,44926677.0,0.1347428902116402,0.35894014550264547
2024-02-26,182.24,182.76,180.65,181.16,40867421.0,0.20276039304610732,0.4310445956160242
2024-02-27,181.1,183.9225,179.56,182.63,54318851.0,0.016847041847041826,0.5476587301587301
2024-02-28,182.51,183.12,180.13,181.42,48943139.0,0.12118727504934401,0.42863015050084013
2024-02-29,181.27,182.57,179.53,180.75,136682597.0,0.13270898901564107,0.5199487824012679
2024-03-01,179.55,180.53,177.38,179.66,73450582.0,0.13361159153346652,0.44961842382154876
2024-03-04,176.15,176.9,173.79,175.1,81505451.0,0.08119185273790537,0.27877791068580543
2024-03-05,170.76,172.04,169.62,170.12,94702355.0,0.14385756709620345,0.392286609294185
2024-03-06,171.06,171.24,168.68,169.12,68568907.0,0.1732012616335755,0.47909612942063573
2024-03-07,169.15,170.73,168.49,169.0,71763761.0,0.1061351504176816,0.39030923893891806
2024-03-08,169.0,173.7,168.94,170.73,76267041.0,0.07124354811854812,0.4326166888666888
2024-03-11,172.94,174.38,172.05,172.75,60139473.0,0.25388288407329107,0.4911845238095238
2024-03-12,173.15,174.03,171.01,173.23,59813522.0,0.1563506510207899,0.42548135956122074
2024-03-13,172.77,173.185,170.76,171.13,52488692.0,0.21598302755445614,0.47469114615543184
2024-03-14,172.91,174.3078,172.05,173.0,72913507.0,0.19348602135920975,0.4658935037050979
2024-03-15,171.17,172.62,170.285,172.62,121752699.0,0.19521240193034048,0.5011622772678166
2024-03-18,175.57,177.71,173.52,173.72,75606556.0,0.13081811028943985,0.408187043871669
2024-03-19,174.34,176.605,173.03,176.08,55215244.0,0.13432584852721782,0.382830594808291
2024-03-20,175.72,178.67,175.09,178.67,53423102.0,0.07114294652520099,0.3864042154109118
2024-03-21,177.05,177.49,170.84,171.37,106181270.0,0.25604915878576234,0.5503990103323614
2024-03-22,171.76,173.05,170.06,172.28,71146138.0,0.10174525640106269,0.46336830896922176
2024-03-25,170.565,171.94,169.45,170.85,54288328.0,0.0826232315095097,0.5283238704173855
2024-03-26,170.0,171.42,169.58,169.71,57388449.0,0.4051060205226872,0.5486136163219497
2024-03-27,170.41,173.6,170.11,173.31,60263665.0,0.12032481330020135,0.46649421989291273
2024-03-28,171.75,172.23,170.51,171.48,65671690.0,0.2355597308183515,0.536712980506084
2024-04-01,171.19,171.25,169.475,170.03,46240500.0,0.22327738864670685,0.5215048745446473
2024-04-02,169.08,169.34,168.2302,168.84,49297581.0,0.08373517223517225,0.424973285973286
2024-04-03,168.79,170.68,168.58,169.65,47691715.0,0.15558276643990926,0.35048299319727894
2024-04-04,170.29,171.92,168.82,168.82,53682486.0,0.2352435064935065,0.46325216450216455
